date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2018-04-03,38,21,0.026,0.017,0.3,0.005,17.7,21.5,15.3,0
2018-04-04,31,17,0.024,0.013,0.2,0.004,17.6,20.6,15.8,0.2
2018-04-05,13,9,0.034,0.007,0.3,0.002,17.9,21.3,14.4,0
2018-04-06,79,26,0.042,0.005,0.3,0.002,11,18.2,8.1,20
2018-04-07,57,28,0.048,0.004,0.3,0.002,7.8,9.8,5.3,0
2018-04-08,56,20,0.056,0.004,0.3,0.003,12.5,16.4,7,0
2018-04-09,69,31,0.048,0.017,0.4,0.005,14.3,16.3,12.6,0
2018-04-10,44,17,0.037,0.013,0.3,0.003,18.8,22.3,12.5,0
2018-04-11,65,32,0.013,0.016,0.4,0.004,17.2,21.2,13.6,0
2018-04-12,33,14,0.007,0.016,0.3,0.003,17,23.5,13.1,0
2018-04-13,45,14,0.054,0.005,0.3,0.002,16.4,19.5,14.3,0
2018-04-14,17,12,0.044,0.006,0.3,0.002,15.2,22.9,10.2,3.7
2018-04-15,145,28,0.048,0.004,0.3,0.003,11.9,15.7,9.6,0
2018-04-16,54,26,0.047,0.008,0.4,0.003,12.2,14.6,8.5,0
2018-04-17,127,37,0.042,0.01,0.3,0.004,14.5,16.6,12.3,0
2018-04-18,70,27,0.046,0.01,0.3,0.003,13.6,17.3,10.7,0
2018-04-19,45,21,0.045,0.018,0.3,0.003,15.2,20.3,9.2,0
2018-04-20,57,26,0.046,0.02,0.3,0.004,16.6,20.3,12.1,0
2018-04-21,48,27,0.039,0.019,0.3,0.005,17.4,19.5,13.2,0
2018-04-22,21,14,0.026,0.016,0.3,0.003,20.4,25.2,17.3,5.2
2018-04-23,18,15,0.02,0.019,0.3,0.003,18.5,21.8,16.1,41.8
2018-04-24,11,10,0.031,0.007,0.3,0.002,14.7,16.4,13.6,38.7
2018-04-25,22,14,0.007,0.013,0.3,0.003,14.6,17.8,12.6,1.7
2018-04-26,24,16,0.007,0.014,0.3,0.003,15.5,19.4,12.1,0
2018-04-27,40,25,0.022,0.016,0.3,0.003,16.6,21.2,13.5,0
2018-04-28,78,54,0.048,0.021,0.5,0.004,16.4,19.3,13.1,0
2018-04-29,96,69,0.062,0.017,0.5,0.004,17.3,19.3,14.4,0
2018-04-30,36,27,0.05,0.019,0.4,0.003,20.7,26.1,17.4,1.2
2018-05-01,29,22,0.041,0.016,0.4,0.003,20.7,26,16.5,0
2018-05-02,33,23,0.037,0.013,0.3,0.003,17.6,24.5,13.4,0.3
2018-05-03,48,20,0.054,0.01,0.3,0.003,15.2,19,12.7,0
2018-05-04,39,18,0.05,0.013,0.2,0.003,16.2,20.3,12.3,0
2018-05-05,39,20,0.053,0.016,0.3,0.003,19.6,22.7,13.7,0
2018-05-06,19,13,0.043,0.011,0.3,0.002,20.3,23.6,17.2,21.4
2018-05-07,18,13,0.038,0.01,0.3,0.002,16.8,18.1,15.5,17.2
2018-05-08,30,16,0.052,0.006,0.2,0.002,16,18.3,14.2,0
2018-05-09,36,17,0.05,0.007,0.2,0.002,15.7,18.1,13.8,0
2018-05-10,39,23,0.045,0.013,0.2,0.003,15.9,18.3,13.9,0
2018-05-11,37,23,0.044,0.017,0.3,0.004,17.9,22.8,12,0
2018-05-12,29,15,0.036,0.014,0.2,0.004,22.2,24.4,18.4,1.3
2018-05-13,23,17,0.032,0.015,0.3,0.003,17.1,21.7,14.9,41.8
2018-05-14,64,39,0.044,0.026,0.4,0.005,19,23.2,14.9,0
2018-05-15,64,31,0.041,0.023,0.4,0.004,21.8,26.3,17.9,0
2018-05-16,24,13,0.019,0.012,0.2,0.003,24.8,31.1,21.3,0
2018-05-17,18,11,0.023,0.01,0.2,0.003,25.7,30.1,22.1,0
2018-05-18,34,24,0.033,0.013,0.2,0.003,21.8,27.8,16.3,2.4
2018-05-19,30,12,0.043,0.005,0.2,0.002,16.6,17.9,15.5,0
2018-05-20,32,12,0.046,0.003,0.1,0.002,16.5,18.6,15.1,0.7
2018-05-21,42,17,0.043,0.006,0.1,0.002,17.7,20.3,15.7,0
2018-05-22,36,17,0.04,0.009,0.2,0.004,20.7,26.4,16.8,2.7
2018-05-23,43,14,0.044,0.009,0.2,0.002,17.8,22.7,16.1,4.1
2018-05-24,90,22,0.039,0.02,0.2,0.004,19.2,24.4,14.1,0
2018-05-25,76,24,0.046,0.019,0.2,0.005,19.9,24,18,0
2018-05-26,32,16,0.053,0.007,0.2,0.003,18.4,23.9,14.8,2.9
2018-05-27,51,31,0.042,0.019,0.2,0.006,19.3,23,16.7,0.1
2018-05-28,22,14,0.045,0.008,0.2,0.002,20.1,24,17.7,3.9
2018-05-29,28,19,0.038,0.009,0.3,0.003,21,26.8,19.1,0
2018-05-30,39,28,0.03,0.014,0.3,0.002,21.1,24.6,18.6,0
2018-05-31,42,27,0.049,0.013,0.3,0.003,18.8,21.8,16.8,0
2018-06-01,44,29,0.05,0.017,0.4,0.003,20.1,23.2,16.2,0
2018-06-02,49,32,0.05,0.021,0.4,0.004,22.1,25.5,19.2,0
2018-06-03,47,31,0.051,0.014,0.3,0.004,21.6,24.1,20.3,0
2018-06-04,42,27,0.042,0.014,0.3,0.004,22.8,26.7,19.5,0
2018-06-05,31,22,0.042,0.007,0.2,0.002,19.8,22.9,19.1,28.5
2018-06-06,46,36,0.037,0.016,0.3,0.005,20.7,23.8,18.8,0
2018-06-07,43,32,0.035,0.014,0.3,0.004,21.3,24.4,18.9,0
2018-06-08,43,34,0.036,0.011,0.3,0.002,20.9,24.6,18.9,0
2018-06-09,53,32,0.048,0.007,0.3,0.002,22.2,26.9,18.9,0
2018-06-10,39,18,0.045,0.005,0.2,0.002,19.9,21.1,18.4,2.1
2018-06-11,22,16,0.036,0.009,0.3,0.003,19.4,22.4,18,23.9
2018-06-12,27,19,0.041,0.01,0.3,0.002,21.1,24.5,18.7,3.1
2018-06-13,29,18,0.042,0.009,0.2,0.002,21.9,28.8,17.7,0
2018-06-14,34,17,0.043,0.005,0.2,0.002,22.1,25.6,19.5,0
2018-06-15,40,16,0.041,0.004,0.1,0.002,21.1,23.8,19,0
2018-06-16,28,11,0.039,0.003,0.1,0.002,20.3,23,18.3,0
2018-06-17,35,19,0.04,0.005,0.2,0.003,20.8,24.5,18.9,0
2018-06-18,46,29,0.035,0.021,0.2,0.007,22,24.1,19.5,0
2018-06-19,33,23,0.029,0.017,0.2,0.004,22,24.3,19.7,31.3
2018-06-20,23,17,0.044,0.008,0.2,0.003,21.9,25.3,19.7,1
2018-06-21,35,25,0.038,0.009,0.2,0.003,22.7,26.8,20.2,0
2018-06-22,45,28,0.043,0.019,0.3,0.004,22.8,25.6,20.1,0.3
2018-06-23,35,24,0.048,0.01,0.2,0.003,22.7,25.1,19.8,1.4
2018-06-24,40,23,0.055,0.012,0.2,0.004,23.9,27,20.6,0
2018-06-25,43,26,0.047,0.013,0.2,0.004,24,27.5,20.6,0
2018-06-26,34,18,0.029,0.007,0.2,0.002,28.2,32.3,23.6,0
2018-06-27,32,18,0.022,0.011,0.2,0.002,26.3,29,24.3,17.3
2018-06-28,18,11,0.03,0.011,0.3,0.002,25.7,28.5,23.4,44
2018-06-29,27,18,0.04,0.011,0.3,0.003,25.2,28.9,23.2,10.4
2018-06-30,16,9,0.028,0.01,0.3,0.002,24,26.8,22,47.8
2018-07-01,18,9,0.014,0.003,0.2,0.002,27.3,30.4,22.7,7.5
2018-07-02,23,12,0.015,0.005,0.2,0.002,27.3,31.4,24.1,0
2018-07-03,33,18,0.023,0.008,0.2,0.003,24.1,25.5,22.8,1.6
2018-07-04,27,17,0.028,0.008,0.3,0.003,26,29.8,24.2,0
2018-07-05,26,18,0.018,0.01,0.2,0.003,24.8,26.5,23.6,0
2018-07-06,20,10,0.023,0.005,0.2,0.002,22.7,24,21.7,38.1
2018-07-07,30,13,0.029,0.004,0.2,0.002,21.3,22.3,19.9,0
2018-07-08,18,9,0.028,0.003,0.2,0.002,20.9,22.5,19.6,1.3
2018-07-09,18,11,0.019,0.01,0.2,0.003,24.6,28.5,21.1,0.1
2018-07-10,15,13,0.011,0.005,0.2,0.002,28.3,33.1,24.7,0
2018-07-11,19,13,0.013,0.007,0.2,0.003,30,35,27.4,0
2018-07-12,21,17,0.015,0.008,0.2,0.003,28,30.4,26,0
2018-07-13,22,17,0.013,0.011,0.2,0.006,26.7,29.2,25.2,0
2018-07-14,19,16,0.013,0.01,0.2,0.004,26.9,29.5,24.8,0
2018-07-15,23,21,0.011,0.01,0.2,0.007,27,29.8,24.4,0
2018-07-16,34,29,0.023,0.01,0.2,0.006,27,29.5,24.5,0
2018-07-17,37,35,0.021,0.011,0.2,0.005,27.3,30.1,24.8,0
2018-07-18,25,23,0.016,0.009,0.2,0.004,27.7,30.6,24.6,0
2018-07-19,24,20,0.018,0.01,0.2,0.004,27.8,31,24.7,0
2018-07-20,43,37,0.031,0.011,0.2,0.005,28.8,31.6,25.8,0
2018-07-21,36,31,0.032,0.007,0.2,0.004,28.9,33.9,25,0
2018-07-22,18,12,0.014,0.002,0.1,0.002,29.2,30.8,28.2,0.1
2018-07-23,16,12,0.017,0.008,0.1,0.003,29.9,34.1,27,0
2018-07-24,18,14,0.02,0.009,0.1,0.004,29.2,31.7,27.5,0
2018-07-25,25,20,0.027,0.009,0.2,0.003,29.1,31.9,27.5,0
2018-07-26,27,20,0.018,0.01,0.2,0.003,29.1,31.8,27.5,0
2018-07-27,22,12,0.019,0.007,0.2,0.002,29.3,32.5,27.1,0
2018-07-28,27,20,0.032,0.007,0.2,0.004,29.1,31.1,27.4,0
2018-07-29,34,25,0.045,0.006,0.3,0.003,29.4,32.5,27.2,0
2018-07-30,26,14,0.042,0.005,0.2,0.003,28.9,31.1,27.6,0
2018-07-31,25,15,0.045,0.01,0.2,0.005,28.7,31.6,25.8,0
2018-08-01,25,15,0.044,0.009,0.2,0.005,29.2,32.3,26.3,0
2018-08-02,27,18,0.038,0.005,0.2,0.004,29,32.1,26.7,0
2018-08-03,20,13,0.037,0.006,0.2,0.002,30,34.1,28.1,0.9
2018-08-04,23,16,0.029,0.009,0.2,0.004,29.5,32,27.8,0
2018-08-05,20,14,0.021,0.007,0.2,0.002,29.9,33.3,27.4,0
2018-08-06,21,17,0.029,0.008,0.2,0.002,30.1,32.8,28.1,0
2018-08-07,23,18,0.037,0.007,0.2,0.002,29.7,31.9,27.9,0
2018-08-08,26,19,0.043,0.009,0.2,0.004,29.3,31.8,26.9,0
2018-08-09,25,21,0.033,0.008,0.2,0.003,29.6,32.6,27.5,0
2018-08-10,25,20,0.03,0.008,0.2,0.004,29.9,33.2,27.5,0
2018-08-11,23,17,0.034,0.004,0.1,0.002,28.8,32.4,27.8,0
2018-08-12,19,17,0.023,0.003,0.1,0.003,29.8,33.3,26.1,41.1
2018-08-13,19,13,0.011,0.003,0.1,0.003,31.1,34.4,28.7,0.2
2018-08-14,19,12,0.014,0.005,0.2,0.004,31.2,35.3,28.6,0
2018-08-15,19,16,0.028,0.005,0.2,0.004,29.7,33.5,27.8,1.4
2018-08-16,14,12,0.024,0.004,0.2,0.002,27.5,28.8,25.2,12.7
2018-08-17,28,14,0.037,0.003,0.2,0.002,26.2,28.4,24.4,8
2018-08-18,31,14,0.039,0.004,0.2,0.002,26.7,30.7,24.4,0
2018-08-19,27,16,0.037,0.007,0.2,0.002,28.3,33.2,24.8,0
2018-08-20,29,20,0.03,0.01,0.2,0.003,29.2,32.8,27,0
2018-08-21,30,20,0.036,0.009,0.2,0.004,28.1,30.6,24.8,0
2018-08-22,,,0.023,0.004,0.1,0.003,27.8,30.5,25.9,36.9
2018-08-23,,,0.025,0.001,0.1,0.002,26.5,29.2,25.6,265.4
2018-08-24,37,17,0.028,0.008,0.2,0.002,27.2,30,24.9,0
2018-08-25,25,18,0.025,0.012,0.2,0.003,26.4,31.2,24.7,1.4
2018-08-26,10,9,0.018,0.006,0.2,0.003,28.3,31.8,26,8.5
2018-08-27,13,9,0.019,0.009,0.2,0.003,28.4,32,26.1,0
2018-08-28,16,7,0.04,0.009,0.1,0.003,27.8,30.4,25.9,0
2018-08-29,12,7,0.028,0.009,0.1,0.002,28.5,33.9,25.1,0
2018-08-30,13,8,0.032,0.008,0.1,0.001,28.9,34.5,25.8,0
2018-08-31,14,9,0.035,0.006,0.1,0,30,33.3,25.6,0
2018-09-01,8,9,0.045,0.005,0.1,0,25.8,28.9,23.3,9.5
2018-09-02,18,12,0.043,0.009,0.1,0.001,24.9,29.2,22.7,1.1
2018-09-03,20,14,0.031,0.014,0.1,0.003,27,31.2,24.1,0.5
2018-09-04,21,16,0.063,0.009,0.2,0.001,26.2,29.1,23.5,7.1
2018-09-05,29,17,0.065,0.009,0.2,0.001,26.6,30.8,23.2,0
2018-09-06,39,20,0.071,0.014,0.2,0.003,26.2,29.2,24.5,0
2018-09-07,36,19,0.068,0.014,0.2,0.002,24.3,27.4,21,11.8
2018-09-08,24,9,0.043,0.012,0,0.003,22.3,24.9,19.4,0
2018-09-09,29,16,0.055,0.011,0.1,0.003,23,26.3,19.1,0
2018-09-10,30,13,0.054,0.007,0,0.002,23,26.2,20.2,0
2018-09-11,32,12,0.05,0.006,0,0.002,22.3,23.8,21.4,0.2
2018-09-12,33,16,0.051,0.008,0,0.002,23,24.8,21.4,0.2
2018-09-13,15,11,0.043,0.009,0,0.002,23.5,24.3,21.6,139.3
2018-09-14,27,13,0.037,0.011,0,0.003,25.3,27.8,23,0
2018-09-15,16,10,0.046,0.009,0.1,0.002,25.2,28,23.5,0.4
2018-09-16,16,11,0.05,0.008,0,0.002,25.5,28.5,23,0
2018-09-17,26,19,0.052,0.012,0.1,0.003,24.6,28.3,23.4,0.1
2018-09-18,24,13,0.057,0.011,0.2,0.002,25,28.1,23.4,0
2018-09-19,30,18,0.045,0.019,0.2,0.003,23.3,25.4,21.3,0
2018-09-20,32,20,0.045,0.014,0.2,0.002,25.2,27.7,22.3,11.6
2018-09-21,21,10,0.046,0.012,0.2,0.002,24.5,28.2,23.4,2.9
2018-09-22,34,18,0.059,0.01,0.2,0.002,24.2,27.6,22.3,0
2018-09-23,51,26,0.066,0.01,0.2,0.002,24.4,29.6,21.2,0
2018-09-24,33,12,0.059,0.008,0.1,0.002,21.9,23.7,19.2,0
2018-09-25,24,12,0.057,0.006,0.1,0.003,21.5,24.1,19.3,0
2018-09-26,32,12,0.052,0.005,0,0.003,22.2,24.9,20.8,0
2018-09-27,24,10,0.05,0.007,0,0.002,21.2,23.6,18.5,0
2018-09-28,28,11,0.05,0.007,0,0.002,21.7,24.3,19.4,0
2018-09-29,23,11,0.049,0.008,0,0.002,20.7,22.3,18.5,3
2018-09-30,30,13,0.055,0.006,0,0.003,21.9,25.2,20.2,0
